Time,System Production (W),Solar Production (W)
06/26/2017 00:00,"0","0"
06/26/2017 00:15,"0","0"
06/26/2017 00:30,"0","0"
06/26/2017 00:45,"0","0"
06/26/2017 01:00,"0","0"
06/26/2017 01:15,"0","0"
06/26/2017 01:30,"0","0"
06/26/2017 01:45,"0","0"
06/26/2017 02:00,"0","0"
06/26/2017 02:15,"0","0"
06/26/2017 02:30,"0","0"
06/26/2017 02:45,"0","0"
06/26/2017 03:00,"0","0"
06/26/2017 03:15,"0","0"
06/26/2017 03:30,"0","0"
06/26/2017 03:45,"0","0"
06/26/2017 04:00,"0","0"
06/26/2017 04:15,"0","0"
06/26/2017 04:30,"0","0"
06/26/2017 04:45,"0","0"
06/26/2017 05:00,"0","0"
06/26/2017 05:15,"0","0"
06/26/2017 05:30,"0","0"
06/26/2017 05:45,"0","0"
06/26/2017 06:00,"0","0"
06/26/2017 06:15,"0","0"
06/26/2017 06:30,"0","0"
06/26/2017 06:45,"0","0"
06/26/2017 07:00,"297","297"
06/26/2017 07:15,"573","573"
06/26/2017 07:30,"874","874"
06/26/2017 07:45,"1211","1211"
06/26/2017 08:00,"1553","1553"
06/26/2017 08:15,"1969","1969"
06/26/2017 08:30,"2476","2476"
06/26/2017 08:45,"2859","2859"
06/26/2017 09:00,"3215","3215"
06/26/2017 09:15,"3571","3571"
06/26/2017 09:30,"3833","3833"
06/26/2017 09:45,"4081","4081"
06/26/2017 10:00,"4363","4363"
06/26/2017 10:15,"1258","1258"
06/26/2017 10:30,"5602","5602"
06/26/2017 10:45,"6288","6288"
06/26/2017 11:00,"5915","5915"
06/26/2017 11:15,"6085","6085"
06/26/2017 11:30,"3993","3993"
06/26/2017 11:45,"4831","4831"
06/26/2017 12:00,"6986","6986"
06/26/2017 12:15,"3848","3848"
06/26/2017 12:30,"1103","1103"
06/26/2017 12:45,"6878","6878"
06/26/2017 13:00,"2145","2145"
06/26/2017 13:15,"7327","7327"
06/26/2017 13:30,"1107","1107"
06/26/2017 13:45,"6539","6539"
06/26/2017 14:00,"7117","7117"
06/26/2017 14:15,"1577","1577"
06/26/2017 14:30,"6105","6105"
06/26/2017 14:45,"1655","1655"
06/26/2017 15:00,"1739","1739"
06/26/2017 15:15,"7248","7248"
06/26/2017 15:30,"1375","1375"
06/26/2017 15:45,"6545","6545"
06/26/2017 16:00,"1381","1381"
06/26/2017 16:15,"2672","2672"
06/26/2017 16:30,"1273","1273"
06/26/2017 16:45,"1513","1513"
06/26/2017 17:00,"1030","1030"
06/26/2017 17:15,"570","570"
06/26/2017 17:30,"1727","1727"
06/26/2017 17:45,"1017","1017"
06/26/2017 18:00,"1020","1020"
06/26/2017 18:15,"1656","1656"
06/26/2017 18:30,"482","482"
06/26/2017 18:45,"270","270"
06/26/2017 19:00,"113","113"
06/26/2017 19:15,"842","842"
06/26/2017 19:30,"205","205"
06/26/2017 19:45,"292","292"
06/26/2017 20:00,"259","259"
06/26/2017 20:15,"0","0"
06/26/2017 20:30,"0","0"
06/26/2017 20:45,"0","0"
06/26/2017 21:00,"0","0"
06/26/2017 21:15,"0","0"
06/26/2017 21:30,"0","0"
06/26/2017 21:45,"0","0"
06/26/2017 22:00,"0","0"
06/26/2017 22:15,"0","0"
06/26/2017 22:30,"0","0"
06/26/2017 22:45,"0","0"
06/26/2017 23:00,"0","0"
06/26/2017 23:15,"0","0"
06/26/2017 23:30,"0","0"
06/26/2017 23:45,"0","0"
06/27/2017 00:00,"0","0"
06/27/2017 00:15,"0","0"
06/27/2017 00:30,"0","0"
06/27/2017 00:45,"0","0"
06/27/2017 01:00,"0","0"
06/27/2017 01:15,"0","0"
06/27/2017 01:30,"0","0"
06/27/2017 01:45,"0","0"
06/27/2017 02:00,"0","0"
06/27/2017 02:15,"0","0"
06/27/2017 02:30,"0","0"
06/27/2017 02:45,"0","0"
06/27/2017 03:00,"0","0"
06/27/2017 03:15,"0","0"
06/27/2017 03:30,"0","0"
06/27/2017 03:45,"0","0"
06/27/2017 04:00,"0","0"
06/27/2017 04:15,"0","0"
06/27/2017 04:30,"0","0"
06/27/2017 04:45,"0","0"
06/27/2017 05:00,"0","0"
06/27/2017 05:15,"0","0"
06/27/2017 05:30,"0","0"
06/27/2017 05:45,"0","0"
06/27/2017 06:00,"0","0"
06/27/2017 06:15,"0","0"
06/27/2017 06:30,"0","0"
06/27/2017 06:45,"289","289"
06/27/2017 07:00,"583","583"
06/27/2017 07:15,"339","339"
06/27/2017 07:30,"493","493"
06/27/2017 07:45,"524","524"
06/27/2017 08:00,"1040","1040"
06/27/2017 08:15,"1106","1106"
06/27/2017 08:30,"1454","1454"
06/27/2017 08:45,"793","793"
06/27/2017 09:00,"897","897"
06/27/2017 09:15,"5034","5034"
06/27/2017 09:30,"369","369"
06/27/2017 09:45,"3576","3576"
06/27/2017 10:00,"1113","1113"
06/27/2017 10:15,"5543","5543"
06/27/2017 10:30,"2928","2928"
06/27/2017 10:45,"1855","1855"
06/27/2017 11:00,"6325","6325"
06/27/2017 11:15,"6516","6516"
06/27/2017 11:30,"4746","4746"
06/27/2017 11:45,"6245","6245"
06/27/2017 12:00,"7081","7081"
06/27/2017 12:15,"7075","7075"
06/27/2017 12:30,"1535","1535"
06/27/2017 12:45,"6587","6587"
06/27/2017 13:00,"7448","7448"
06/27/2017 13:15,"6542","6542"
06/27/2017 13:30,"6613","6613"
06/27/2017 13:45,"1009","1009"
06/27/2017 14:00,"1274","1274"
06/27/2017 14:15,"5260","5260"
06/27/2017 14:30,"1726","1726"
06/27/2017 14:45,"4680","4680"
06/27/2017 15:00,"6235","6235"
06/27/2017 15:15,"1744","1744"
06/27/2017 15:30,"6229","6229"
06/27/2017 15:45,"6182","6182"
06/27/2017 16:00,"5178","5178"
06/27/2017 16:15,"4744","4744"
06/27/2017 16:30,"4393","4393"
06/27/2017 16:45,"4156","4156"
06/27/2017 17:00,"3992","3992"
06/27/2017 17:15,"3328","3328"
06/27/2017 17:30,"2467","2467"
06/27/2017 17:45,"1895","1895"
06/27/2017 18:00,"934","934"
06/27/2017 18:15,"779","779"
06/27/2017 18:30,"621","621"
06/27/2017 18:45,"517","517"
06/27/2017 19:00,"416","416"
06/27/2017 19:15,"310","310"
06/27/2017 19:30,"228","228"
06/27/2017 19:45,"154","154"
06/27/2017 20:00,"121","121"
06/27/2017 20:15,"47","47"
06/27/2017 20:30,"14","14"
06/27/2017 20:45,"0","0"
06/27/2017 21:00,"0","0"
06/27/2017 21:15,"0","0"
06/27/2017 21:30,"0","0"
06/27/2017 21:45,"0","0"
06/27/2017 22:00,"0","0"
06/27/2017 22:15,"0","0"
06/27/2017 22:30,"0","0"
06/27/2017 22:45,"0","0"
06/27/2017 23:00,"0","0"
06/27/2017 23:15,"0","0"
06/27/2017 23:30,"0","0"
06/27/2017 23:45,"0","0"
06/28/2017 00:00,"0","0"
06/28/2017 00:15,"0","0"
06/28/2017 00:30,"0","0"
06/28/2017 00:45,"0","0"
06/28/2017 01:00,"0","0"
06/28/2017 01:15,"0","0"
06/28/2017 01:30,"0","0"
06/28/2017 01:45,"0","0"
06/28/2017 02:00,"0","0"
06/28/2017 02:15,"0","0"
06/28/2017 02:30,"0","0"
06/28/2017 02:45,"0","0"
06/28/2017 03:00,"0","0"
06/28/2017 03:15,"0","0"
06/28/2017 03:30,"0","0"
06/28/2017 03:45,"0","0"
06/28/2017 04:00,"0","0"
06/28/2017 04:15,"0","0"
06/28/2017 04:30,"0","0"
06/28/2017 04:45,"0","0"
06/28/2017 05:00,"0","0"
06/28/2017 05:15,"0","0"
06/28/2017 05:30,"0","0"
06/28/2017 05:45,"0","0"
06/28/2017 06:00,"0","0"
06/28/2017 06:15,"0","0"
06/28/2017 06:30,"0","0"
06/28/2017 06:45,"226","226"
06/28/2017 07:00,"367","367"
06/28/2017 07:15,"594","594"
06/28/2017 07:30,"879","879"
06/28/2017 07:45,"1214","1214"
06/28/2017 08:00,"1539","1539"
06/28/2017 08:15,"2007","2007"
06/28/2017 08:30,"2438","2438"
06/28/2017 08:45,"2836","2836"
06/28/2017 09:00,"3172","3172"
06/28/2017 09:15,"3505","3505"
06/28/2017 09:30,"3823","3823"
06/28/2017 09:45,"4083","4083"
06/28/2017 10:00,"4200","4200"
06/28/2017 10:15,"4448","4448"
06/28/2017 10:30,"4604","4604"
06/28/2017 10:45,"5056","5056"
06/28/2017 11:00,"5220","5220"
06/28/2017 11:15,"5291","5291"
06/28/2017 11:30,"4443","4443"
06/28/2017 11:45,"5270","5270"
06/28/2017 12:00,"4360","4360"
06/28/2017 12:15,"4868","4868"
06/28/2017 12:30,"5621","5621"
06/28/2017 12:45,"4537","4537"
06/28/2017 13:00,"6386","6386"
06/28/2017 13:15,"5114","5114"
06/28/2017 13:30,"4355","4355"
06/28/2017 13:45,"3163","3163"
06/28/2017 14:00,"5506","5506"
06/28/2017 14:15,"5010","5010"
06/28/2017 14:30,"3190","3190"
06/28/2017 14:45,"3292","3292"
06/28/2017 15:00,"2928","2928"
06/28/2017 15:15,"3721","3721"
06/28/2017 15:30,"3354","3354"
06/28/2017 15:45,"2535","2535"
06/28/2017 16:00,"3368","3368"
06/28/2017 16:15,"3660","3660"
06/28/2017 16:30,"4081","4081"
06/28/2017 16:45,"3916","3916"
06/28/2017 17:00,"2030","2030"
06/28/2017 17:15,"3326","3326"
06/28/2017 17:30,"1647","1647"
06/28/2017 17:45,"2091","2091"
06/28/2017 18:00,"1213","1213"
06/28/2017 18:15,"1026","1026"
06/28/2017 18:30,"1099","1099"
06/28/2017 18:45,"843","843"
06/28/2017 19:00,"630","630"
06/28/2017 19:15,"503","503"
06/28/2017 19:30,"278","278"
06/28/2017 19:45,"311","311"
06/28/2017 20:00,"229","229"
06/28/2017 20:15,"86","86"
06/28/2017 20:30,"9","9"
06/28/2017 20:45,"0","0"
06/28/2017 21:00,"0","0"
06/28/2017 21:15,"0","0"
06/28/2017 21:30,"0","0"
06/28/2017 21:45,"0","0"
06/28/2017 22:00,"0","0"
06/28/2017 22:15,"0","0"
06/28/2017 22:30,"0","0"
06/28/2017 22:45,"0","0"
06/28/2017 23:00,"0","0"
