Time,System Production (W),Solar Production (W)
06/05/2017 00:00,"0","0"
06/05/2017 00:15,"0","0"
06/05/2017 00:30,"0","0"
06/05/2017 00:45,"0","0"
06/05/2017 01:00,"0","0"
06/05/2017 01:15,"0","0"
06/05/2017 01:30,"0","0"
06/05/2017 01:45,"0","0"
06/05/2017 02:00,"0","0"
06/05/2017 02:15,"0","0"
06/05/2017 02:30,"0","0"
06/05/2017 02:45,"0","0"
06/05/2017 03:00,"0","0"
06/05/2017 03:15,"0","0"
06/05/2017 03:30,"0","0"
06/05/2017 03:45,"0","0"
06/05/2017 04:00,"0","0"
06/05/2017 04:15,"0","0"
06/05/2017 04:30,"0","0"
06/05/2017 04:45,"0","0"
06/05/2017 05:00,"0","0"
06/05/2017 05:15,"0","0"
06/05/2017 05:30,"0","0"
06/05/2017 05:45,"0","0"
06/05/2017 06:00,"0","0"
06/05/2017 06:15,"0","0"
06/05/2017 06:30,"35","35"
06/05/2017 06:45,"85","85"
06/05/2017 07:00,"323","323"
06/05/2017 07:15,"521","521"
06/05/2017 07:30,"728","728"
06/05/2017 07:45,"1045","1045"
06/05/2017 08:00,"603","603"
06/05/2017 08:15,"1611","1611"
06/05/2017 08:30,"1849","1849"
06/05/2017 08:45,"1654","1654"
06/05/2017 09:00,"1613","1613"
06/05/2017 09:15,"1429","1429"
06/05/2017 09:30,"752","752"
06/05/2017 09:45,"1158","1158"
06/05/2017 10:00,"1112","1112"
06/05/2017 10:15,"1434","1434"
06/05/2017 10:30,"1276","1276"
06/05/2017 10:45,"1591","1591"
06/05/2017 11:00,"1756","1756"
06/05/2017 11:15,"2120","2120"
06/05/2017 11:30,"2019","2019"
06/05/2017 11:45,"1840","1840"
06/05/2017 12:00,"1815","1815"
06/05/2017 12:15,"3181","3181"
06/05/2017 12:30,"2525","2525"
06/05/2017 12:45,"3292","3292"
06/05/2017 13:00,"3741","3741"
06/05/2017 13:15,"5888","5888"
06/05/2017 13:30,"3039","3039"
06/05/2017 13:45,"2831","2831"
06/05/2017 14:00,"6560","6560"
06/05/2017 14:15,"6936","6936"
06/05/2017 14:30,"2800","2800"
06/05/2017 14:45,"3748","3748"
06/05/2017 15:00,"2536","2536"
06/05/2017 15:15,"2477","2477"
06/05/2017 15:30,"2255","2255"
06/05/2017 15:45,"2810","2810"
06/05/2017 16:00,"2064","2064"
06/05/2017 16:15,"1540","1540"
06/05/2017 16:30,"1236","1236"
06/05/2017 16:45,"924","924"
06/05/2017 17:00,"1138","1138"
06/05/2017 17:15,"710","710"
06/05/2017 17:30,"3410","3410"
06/05/2017 17:45,"2350","2350"
06/05/2017 18:00,"1357","1357"
06/05/2017 18:15,"923","923"
06/05/2017 18:30,"867","867"
06/05/2017 18:45,"930","930"
06/05/2017 19:00,"438","438"
06/05/2017 19:15,"374","374"
06/05/2017 19:30,"440","440"
06/05/2017 19:45,"252","252"
06/05/2017 20:00,"143","143"
06/05/2017 20:15,"48","48"
06/05/2017 20:30,"0","0"
06/05/2017 20:45,"0","0"
06/05/2017 21:00,"0","0"
06/05/2017 21:15,"0","0"
06/05/2017 21:30,"0","0"
06/05/2017 21:45,"0","0"
06/05/2017 22:00,"0","0"
06/05/2017 22:15,"0","0"
06/05/2017 22:30,"0","0"
06/05/2017 22:45,"0","0"
06/05/2017 23:00,"0","0"
06/05/2017 23:15,"0","0"
06/05/2017 23:30,"0","0"
06/05/2017 23:45,"0","0"
06/06/2017 00:00,"0","0"
06/06/2017 00:15,"0","0"
06/06/2017 00:30,"0","0"
06/06/2017 00:45,"0","0"
06/06/2017 01:00,"0","0"
06/06/2017 01:15,"0","0"
06/06/2017 01:30,"0","0"
06/06/2017 01:45,"0","0"
06/06/2017 02:00,"0","0"
06/06/2017 02:15,"0","0"
06/06/2017 02:30,"0","0"
06/06/2017 02:45,"0","0"
06/06/2017 03:00,"0","0"
06/06/2017 03:15,"0","0"
06/06/2017 03:30,"0","0"
06/06/2017 03:45,"0","0"
06/06/2017 04:00,"0","0"
06/06/2017 04:15,"0","0"
06/06/2017 04:30,"0","0"
06/06/2017 04:45,"0","0"
06/06/2017 05:00,"0","0"
06/06/2017 05:15,"0","0"
06/06/2017 05:30,"0","0"
06/06/2017 05:45,"0","0"
06/06/2017 06:00,"0","0"
06/06/2017 06:15,"0","0"
06/06/2017 06:30,"0","0"
06/06/2017 06:45,"0","0"
06/06/2017 07:00,"129","129"
06/06/2017 07:15,"364","364"
06/06/2017 07:30,"292","292"
06/06/2017 07:45,"475","475"
06/06/2017 08:00,"825","825"
06/06/2017 08:15,"1231","1231"
06/06/2017 08:30,"1296","1296"
06/06/2017 08:45,"860","860"
06/06/2017 09:00,"1158","1158"
06/06/2017 09:15,"627","627"
06/06/2017 09:30,"2274","2274"
06/06/2017 09:45,"1469","1469"
06/06/2017 10:00,"1326","1326"
06/06/2017 10:15,"2213","2213"
06/06/2017 10:30,"863","863"
06/06/2017 10:45,"1024","1024"
06/06/2017 11:00,"876","876"
06/06/2017 11:15,"1368","1368"
06/06/2017 11:30,"1505","1505"
06/06/2017 11:45,"3801","3801"
06/06/2017 12:00,"2604","2604"
06/06/2017 12:15,"4227","4227"
06/06/2017 12:30,"1571","1571"
06/06/2017 12:45,"1443","1443"
06/06/2017 13:00,"1806","1806"
06/06/2017 13:15,"1250","1250"
06/06/2017 13:30,"1137","1137"
06/06/2017 13:45,"845","845"
06/06/2017 14:00,"2289","2289"
06/06/2017 14:15,"1411","1411"
06/06/2017 14:30,"2153","2153"
06/06/2017 14:45,"1597","1597"
06/06/2017 15:00,"790","790"
06/06/2017 15:15,"1766","1766"
06/06/2017 15:30,"4017","4017"
06/06/2017 15:45,"6691","6691"
06/06/2017 16:00,"1071","1071"
06/06/2017 16:15,"2053","2053"
06/06/2017 16:30,"1698","1698"
06/06/2017 16:45,"1298","1298"
06/06/2017 17:00,"1336","1336"
06/06/2017 17:15,"1263","1263"
06/06/2017 17:30,"802","802"
06/06/2017 17:45,"573","573"
06/06/2017 18:00,"476","476"
06/06/2017 18:15,"473","473"
06/06/2017 18:30,"360","360"
06/06/2017 18:45,"247","247"
06/06/2017 19:00,"168","168"
06/06/2017 19:15,"339","339"
06/06/2017 19:30,"244","244"
06/06/2017 19:45,"81","81"
06/06/2017 20:00,"77","77"
06/06/2017 20:15,"70","70"
06/06/2017 20:30,"0","0"
06/06/2017 20:45,"0","0"
06/06/2017 21:00,"0","0"
06/06/2017 21:15,"0","0"
06/06/2017 21:30,"0","0"
06/06/2017 21:45,"0","0"
06/06/2017 22:00,"0","0"
06/06/2017 22:15,"0","0"
06/06/2017 22:30,"0","0"
06/06/2017 22:45,"0","0"
06/06/2017 23:00,"0","0"
06/06/2017 23:15,"0","0"
06/06/2017 23:30,"0","0"
06/06/2017 23:45,"0","0"
06/07/2017 00:00,"0","0"
06/07/2017 00:15,"0","0"
06/07/2017 00:30,"0","0"
06/07/2017 00:45,"0","0"
06/07/2017 01:00,"0","0"
06/07/2017 01:15,"0","0"
06/07/2017 01:30,"0","0"
06/07/2017 01:45,"0","0"
06/07/2017 02:00,"0","0"
06/07/2017 02:15,"0","0"
06/07/2017 02:30,"0","0"
06/07/2017 02:45,"0","0"
06/07/2017 03:00,"0","0"
06/07/2017 03:15,"0","0"
06/07/2017 03:30,"0","0"
06/07/2017 03:45,"0","0"
06/07/2017 04:00,"0","0"
06/07/2017 04:15,"0","0"
06/07/2017 04:30,"0","0"
06/07/2017 04:45,"0","0"
06/07/2017 05:00,"0","0"
06/07/2017 05:15,"0","0"
06/07/2017 05:30,"0","0"
06/07/2017 05:45,"0","0"
06/07/2017 06:00,"0","0"
06/07/2017 06:15,"0","0"
06/07/2017 06:30,"0","0"
06/07/2017 06:45,"0","0"
06/07/2017 07:00,"273","273"
06/07/2017 07:15,"186","186"
06/07/2017 07:30,"442","442"
06/07/2017 07:45,"529","529"
06/07/2017 08:00,"730","730"
06/07/2017 08:15,"804","804"
06/07/2017 08:30,"918","918"
06/07/2017 08:45,"995","995"
06/07/2017 09:00,"1371","1371"
06/07/2017 09:15,"678","678"
06/07/2017 09:30,"650","650"
06/07/2017 09:45,"373","373"
06/07/2017 10:00,"2405","2405"
06/07/2017 10:15,"1757","1757"
06/07/2017 10:30,"1005","1005"
06/07/2017 10:45,"1425","1425"
06/07/2017 11:00,"1403","1403"
06/07/2017 11:15,"794","794"
06/07/2017 11:30,"2389","2389"
06/07/2017 11:45,"1175","1175"
06/07/2017 12:00,"2261","2261"
06/07/2017 12:15,"1272","1272"
06/07/2017 12:30,"609","609"
06/07/2017 12:45,"629","629"
06/07/2017 13:00,"3140","3140"
06/07/2017 13:15,"888","888"
06/07/2017 13:30,"1696","1696"
06/07/2017 13:45,"2141","2141"
06/07/2017 14:00,"2621","2621"
06/07/2017 14:15,"1476","1476"
06/07/2017 14:30,"1835","1835"
06/07/2017 14:45,"2843","2843"
06/07/2017 15:00,"1794","1794"
06/07/2017 15:15,"3522","3522"
06/07/2017 15:30,"6909","6909"
