Time,System Production (W),Solar Production (W)
06/19/2017 00:00,"0","0"
06/19/2017 00:15,"0","0"
06/19/2017 00:30,"0","0"
06/19/2017 00:45,"0","0"
06/19/2017 01:00,"0","0"
06/19/2017 01:15,"0","0"
06/19/2017 01:30,"0","0"
06/19/2017 01:45,"0","0"
06/19/2017 02:00,"0","0"
06/19/2017 02:15,"0","0"
06/19/2017 02:30,"0","0"
06/19/2017 02:45,"0","0"
06/19/2017 03:00,"0","0"
06/19/2017 03:15,"0","0"
06/19/2017 03:30,"0","0"
06/19/2017 03:45,"0","0"
06/19/2017 04:00,"0","0"
06/19/2017 04:15,"0","0"
06/19/2017 04:30,"0","0"
06/19/2017 04:45,"0","0"
06/19/2017 05:00,"0","0"
06/19/2017 05:15,"0","0"
06/19/2017 05:30,"0","0"
06/19/2017 05:45,"0","0"
06/19/2017 06:00,"0","0"
06/19/2017 06:15,"0","0"
06/19/2017 06:30,"0","0"
06/19/2017 06:45,"0","0"
06/19/2017 07:00,"520","520"
06/19/2017 07:15,"392","392"
06/19/2017 07:30,"1006","1006"
06/19/2017 07:45,"1232","1232"
06/19/2017 08:00,"1792","1792"
06/19/2017 08:15,"1101","1101"
06/19/2017 08:30,"2479","2479"
06/19/2017 08:45,"2808","2808"
06/19/2017 09:00,"3593","3593"
06/19/2017 09:15,"1597","1597"
06/19/2017 09:30,"3770","3770"
06/19/2017 09:45,"4016","4016"
06/19/2017 10:00,"4210","4210"
06/19/2017 10:15,"4495","4495"
06/19/2017 10:30,"4820","4820"
06/19/2017 10:45,"5541","5541"
06/19/2017 11:00,"6244","6244"
06/19/2017 11:15,"6124","6124"
06/19/2017 11:30,"6028","6028"
06/19/2017 11:45,"6512","6512"
06/19/2017 12:00,"5632","5632"
06/19/2017 12:15,"2505","2505"
06/19/2017 12:30,"5957","5957"
06/19/2017 12:45,"5847","5847"
06/19/2017 13:00,"5560","5560"
06/19/2017 13:15,"5401","5401"
06/19/2017 13:30,"1573","1573"
06/19/2017 13:45,"1255","1255"
06/19/2017 14:00,"773","773"
06/19/2017 14:15,"6768","6768"
06/19/2017 14:30,"961","961"
06/19/2017 14:45,"1551","1551"
06/19/2017 15:00,"1665","1665"
06/19/2017 15:15,"1021","1021"
06/19/2017 15:30,"1433","1433"
06/19/2017 15:45,"927","927"
06/19/2017 16:00,"2819","2819"
06/19/2017 16:15,"1469","1469"
06/19/2017 16:30,"1576","1576"
06/19/2017 16:45,"1918","1918"
06/19/2017 17:00,"1133","1133"
06/19/2017 17:15,"1284","1284"
06/19/2017 17:30,"823","823"
06/19/2017 17:45,"505","505"
06/19/2017 18:00,"175","175"
