Time,System Production (W),Solar Production (W)
05/29/2017 00:00,"0","0"
05/29/2017 00:15,"0","0"
05/29/2017 00:30,"0","0"
05/29/2017 00:45,"0","0"
05/29/2017 01:00,"0","0"
05/29/2017 01:15,"0","0"
05/29/2017 01:30,"0","0"
05/29/2017 01:45,"0","0"
05/29/2017 02:00,"0","0"
05/29/2017 02:15,"0","0"
05/29/2017 02:30,"0","0"
05/29/2017 02:45,"0","0"
05/29/2017 03:00,"0","0"
05/29/2017 03:15,"0","0"
05/29/2017 03:30,"0","0"
05/29/2017 03:45,"0","0"
05/29/2017 04:00,"0","0"
05/29/2017 04:15,"0","0"
05/29/2017 04:30,"0","0"
05/29/2017 04:45,"0","0"
05/29/2017 05:00,"0","0"
05/29/2017 05:15,"0","0"
05/29/2017 05:30,"0","0"
05/29/2017 05:45,"0","0"
05/29/2017 06:00,"21","21"
05/29/2017 06:15,"22","22"
05/29/2017 06:30,"35","35"
05/29/2017 06:45,"203","203"
05/29/2017 07:00,"415","415"
05/29/2017 07:15,"741","741"
05/29/2017 07:30,"1009","1009"
05/29/2017 07:45,"1338","1338"
05/29/2017 08:00,"1618","1618"
05/29/2017 08:15,"2207","2207"
05/29/2017 08:30,"2650","2650"
05/29/2017 08:45,"2947","2947"
05/29/2017 09:00,"3356","3356"
05/29/2017 09:15,"3699","3699"
05/29/2017 09:30,"3907","3907"
05/29/2017 09:45,"4192","4192"
05/29/2017 10:00,"4436","4436"
05/29/2017 10:15,"4648","4648"
05/29/2017 10:30,"4816","4816"
05/29/2017 10:45,"5101","5101"
05/29/2017 11:00,"5277","5277"
05/29/2017 11:15,"5411","5411"
05/29/2017 11:30,"5594","5594"
05/29/2017 11:45,"6302","6302"
05/29/2017 12:00,"6757","6757"
05/29/2017 12:15,"2831","2831"
05/29/2017 12:30,"1616","1616"
05/29/2017 12:45,"6311","6311"
05/29/2017 13:00,"2715","2715"
05/29/2017 13:15,"7050","7050"
05/29/2017 13:30,"5669","5669"
05/29/2017 13:45,"2150","2150"
05/29/2017 14:00,"2308","2308"
05/29/2017 14:15,"3777","3777"
05/29/2017 14:30,"1345","1345"
05/29/2017 14:45,"1392","1392"
05/29/2017 15:00,"2548","2548"
05/29/2017 15:15,"5807","5807"
05/29/2017 15:30,"5183","5183"
05/29/2017 15:45,"1253","1253"
05/29/2017 16:00,"5868","5868"
05/29/2017 16:15,"5270","5270"
05/29/2017 16:30,"741","741"
05/29/2017 16:45,"5098","5098"
05/29/2017 17:00,"1386","1386"
05/29/2017 17:15,"1213","1213"
05/29/2017 17:30,"2498","2498"
05/29/2017 17:45,"1800","1800"
05/29/2017 18:00,"1193","1193"
05/29/2017 18:15,"682","682"
05/29/2017 18:30,"560","560"
05/29/2017 18:45,"453","453"
05/29/2017 19:00,"293","293"
05/29/2017 19:15,"247","247"
05/29/2017 19:30,"274","274"
05/29/2017 19:45,"158","158"
05/29/2017 20:00,"122","122"
05/29/2017 20:15,"52","52"
05/29/2017 20:30,"0","0"
05/29/2017 20:45,"0","0"
05/29/2017 21:00,"0","0"
05/29/2017 21:15,"0","0"
05/29/2017 21:30,"0","0"
05/29/2017 21:45,"0","0"
05/29/2017 22:00,"0","0"
05/29/2017 22:15,"0","0"
05/29/2017 22:30,"0","0"
05/29/2017 22:45,"0","0"
05/29/2017 23:00,"0","0"
05/29/2017 23:15,"0","0"
05/29/2017 23:30,"0","0"
05/29/2017 23:45,"0","0"
05/30/2017 00:00,"0","0"
05/30/2017 00:15,"0","0"
05/30/2017 00:30,"0","0"
05/30/2017 00:45,"0","0"
05/30/2017 01:00,"0","0"
05/30/2017 01:15,"0","0"
05/30/2017 01:30,"0","0"
05/30/2017 01:45,"0","0"
05/30/2017 02:00,"0","0"
05/30/2017 02:15,"0","0"
05/30/2017 02:30,"0","0"
05/30/2017 02:45,"0","0"
05/30/2017 03:00,"0","0"
05/30/2017 03:15,"0","0"
05/30/2017 03:30,"0","0"
05/30/2017 03:45,"0","0"
05/30/2017 04:00,"0","0"
05/30/2017 04:15,"0","0"
05/30/2017 04:30,"0","0"
05/30/2017 04:45,"0","0"
05/30/2017 05:00,"0","0"
05/30/2017 05:15,"0","0"
05/30/2017 05:30,"0","0"
05/30/2017 05:45,"0","0"
05/30/2017 06:00,"0","0"
05/30/2017 06:15,"48","48"
05/30/2017 06:30,"215","215"
05/30/2017 06:45,"299","299"
05/30/2017 07:00,"571","571"
05/30/2017 07:15,"657","657"
05/30/2017 07:30,"906","906"
05/30/2017 07:45,"940","940"
05/30/2017 08:00,"839","839"
05/30/2017 08:15,"2276","2276"
05/30/2017 08:30,"2895","2895"
05/30/2017 08:45,"2962","2962"
05/30/2017 09:00,"3097","3097"
05/30/2017 09:15,"2101","2101"
05/30/2017 09:30,"3956","3956"
05/30/2017 09:45,"4163","4163"
05/30/2017 10:00,"4396","4396"
05/30/2017 10:15,"4600","4600"
05/30/2017 10:30,"4842","4842"
05/30/2017 10:45,"5078","5078"
05/30/2017 11:00,"5372","5372"
05/30/2017 11:15,"5956","5956"
05/30/2017 11:30,"6658","6658"
05/30/2017 11:45,"7479","7479"
05/30/2017 12:00,"1682","1682"
05/30/2017 12:15,"6927","6927"
05/30/2017 12:30,"7699","7699"
05/30/2017 12:45,"6332","6332"
05/30/2017 13:00,"2413","2413"
05/30/2017 13:15,"1562","1562"
05/30/2017 13:30,"7115","7115"
05/30/2017 13:45,"7118","7118"
05/30/2017 14:00,"2090","2090"
05/30/2017 14:15,"2567","2567"
05/30/2017 14:30,"6859","6859"
05/30/2017 14:45,"1769","1769"
05/30/2017 15:00,"1519","1519"
05/30/2017 15:15,"6509","6509"
05/30/2017 15:30,"5483","5483"
05/30/2017 15:45,"1782","1782"
05/30/2017 16:00,"3710","3710"
05/30/2017 16:15,"4851","4851"
05/30/2017 16:30,"1865","1865"
05/30/2017 16:45,"1957","1957"
05/30/2017 17:00,"3387","3387"
05/30/2017 17:15,"2259","2259"
05/30/2017 17:30,"1658","1658"
05/30/2017 17:45,"1209","1209"
05/30/2017 18:00,"935","935"
05/30/2017 18:15,"910","910"
05/30/2017 18:30,"946","946"
05/30/2017 18:45,"510","510"
05/30/2017 19:00,"597","597"
05/30/2017 19:15,"738","738"
05/30/2017 19:30,"462","462"
05/30/2017 19:45,"226","226"
05/30/2017 20:00,"105","105"
05/30/2017 20:15,"30","30"
05/30/2017 20:30,"0","0"
05/30/2017 20:45,"0","0"
05/30/2017 21:00,"0","0"
05/30/2017 21:15,"0","0"
05/30/2017 21:30,"0","0"
05/30/2017 21:45,"0","0"
05/30/2017 22:00,"0","0"
05/30/2017 22:15,"0","0"
05/30/2017 22:30,"0","0"
05/30/2017 22:45,"0","0"
05/30/2017 23:00,"0","0"
05/30/2017 23:15,"0","0"
05/30/2017 23:30,"0","0"
05/30/2017 23:45,"0","0"
05/31/2017 00:00,"0","0"
05/31/2017 00:15,"0","0"
05/31/2017 00:30,"0","0"
05/31/2017 00:45,"0","0"
05/31/2017 01:00,"0","0"
05/31/2017 01:15,"0","0"
05/31/2017 01:30,"0","0"
05/31/2017 01:45,"0","0"
05/31/2017 02:00,"0","0"
05/31/2017 02:15,"0","0"
05/31/2017 02:30,"0","0"
05/31/2017 02:45,"0","0"
05/31/2017 03:00,"0","0"
05/31/2017 03:15,"0","0"
05/31/2017 03:30,"0","0"
05/31/2017 03:45,"0","0"
05/31/2017 04:00,"0","0"
05/31/2017 04:15,"0","0"
05/31/2017 04:30,"0","0"
05/31/2017 04:45,"0","0"
05/31/2017 05:00,"0","0"
05/31/2017 05:15,"0","0"
05/31/2017 05:30,"0","0"
05/31/2017 05:45,"0","0"
05/31/2017 06:00,"0","0"
05/31/2017 06:15,"0","0"
05/31/2017 06:30,"0","0"
05/31/2017 06:45,"181","181"
05/31/2017 07:00,"258","258"
05/31/2017 07:15,"544","544"
05/31/2017 07:30,"813","813"
05/31/2017 07:45,"621","621"
05/31/2017 08:00,"882","882"
05/31/2017 08:15,"1851","1851"
05/31/2017 08:30,"1160","1160"
05/31/2017 08:45,"921","921"
05/31/2017 09:00,"2792","2792"
05/31/2017 09:15,"1893","1893"
05/31/2017 09:30,"4184","4184"
05/31/2017 09:45,"4331","4331"
05/31/2017 10:00,"4425","4425"
05/31/2017 10:15,"4637","4637"
05/31/2017 10:30,"4878","4878"
05/31/2017 10:45,"5154","5154"
05/31/2017 11:00,"5630","5630"
05/31/2017 11:15,"1149","1149"
05/31/2017 11:30,"5841","5841"
05/31/2017 11:45,"6411","6411"
05/31/2017 12:00,"6944","6944"
05/31/2017 12:15,"6383","6383"
05/31/2017 12:30,"6397","6397"
05/31/2017 12:45,"6413","6413"
05/31/2017 13:00,"2057","2057"
05/31/2017 13:15,"1213","1213"
05/31/2017 13:30,"6800","6800"
05/31/2017 13:45,"1069","1069"
05/31/2017 14:00,"7315","7315"
05/31/2017 14:15,"1551","1551"
05/31/2017 14:30,"6039","6039"
05/31/2017 14:45,"5934","5934"
05/31/2017 15:00,"6240","6240"
05/31/2017 15:15,"5666","5666"
05/31/2017 15:30,"5489","5489"
05/31/2017 15:45,"1219","1219"
05/31/2017 16:00,"4871","4871"
05/31/2017 16:15,"4924","4924"
05/31/2017 16:30,"4635","4635"
05/31/2017 16:45,"4397","4397"
05/31/2017 17:00,"3761","3761"
05/31/2017 17:15,"2928","2928"
05/31/2017 17:30,"2320","2320"
05/31/2017 17:45,"1342","1342"
05/31/2017 18:00,"624","624"
05/31/2017 18:15,"988","988"
05/31/2017 18:30,"335","335"
05/31/2017 18:45,"565","565"
05/31/2017 19:00,"480","480"
05/31/2017 19:15,"254","254"
05/31/2017 19:30,"236","236"
05/31/2017 19:45,"311","311"
05/31/2017 20:00,"82","82"
05/31/2017 20:15,"54","54"
05/31/2017 20:30,"3","3"
05/31/2017 20:45,"0","0"
05/31/2017 21:00,"0","0"
05/31/2017 21:15,"0","0"
05/31/2017 21:30,"0","0"
05/31/2017 21:45,"0","0"
05/31/2017 22:00,"0","0"
05/31/2017 22:15,"0","0"
05/31/2017 22:30,"0","0"
05/31/2017 22:45,"0","0"
05/31/2017 23:00,"0","0"
05/31/2017 23:15,"0","0"
05/31/2017 23:30,"0","0"
05/31/2017 23:45,"0","0"
06/01/2017 00:00,"0","0"
06/01/2017 00:15,"0","0"
06/01/2017 00:30,"0","0"
06/01/2017 00:45,"0","0"
06/01/2017 01:00,"0","0"
06/01/2017 01:15,"0","0"
06/01/2017 01:30,"0","0"
06/01/2017 01:45,"0","0"
06/01/2017 02:00,"0","0"
06/01/2017 02:15,"0","0"
06/01/2017 02:30,"0","0"
06/01/2017 02:45,"0","0"
06/01/2017 03:00,"0","0"
06/01/2017 03:15,"0","0"
06/01/2017 03:30,"0","0"
06/01/2017 03:45,"0","0"
06/01/2017 04:00,"0","0"
06/01/2017 04:15,"0","0"
06/01/2017 04:30,"0","0"
06/01/2017 04:45,"0","0"
06/01/2017 05:00,"0","0"
06/01/2017 05:15,"0","0"
06/01/2017 05:30,"0","0"
06/01/2017 05:45,"0","0"
06/01/2017 06:00,"0","0"
06/01/2017 06:15,"0","0"
06/01/2017 06:30,"0","0"
06/01/2017 06:45,"82","82"
06/01/2017 07:00,"395","395"
06/01/2017 07:15,"793","793"
06/01/2017 07:30,"1024","1024"
06/01/2017 07:45,"1377","1377"
06/01/2017 08:00,"1712","1712"
06/01/2017 08:15,"2162","2162"
06/01/2017 08:30,"2625","2625"
06/01/2017 08:45,"2993","2993"
06/01/2017 09:00,"3311","3311"
06/01/2017 09:15,"3658","3658"
06/01/2017 09:30,"3928","3928"
06/01/2017 09:45,"4212","4212"
06/01/2017 10:00,"4433","4433"
06/01/2017 10:15,"4693","4693"
06/01/2017 10:30,"5071","5071"
06/01/2017 10:45,"5162","5162"
06/01/2017 11:00,"5449","5449"
06/01/2017 11:15,"5550","5550"
06/01/2017 11:30,"5685","5685"
06/01/2017 11:45,"5746","5746"
06/01/2017 12:00,"5959","5959"
06/01/2017 12:15,"5940","5940"
06/01/2017 12:30,"6078","6078"
06/01/2017 12:45,"6110","6110"
06/01/2017 13:00,"839","839"
06/01/2017 13:15,"6234","6234"
06/01/2017 13:30,"6083","6083"
06/01/2017 13:45,"6082","6082"
06/01/2017 14:00,"6011","6011"
06/01/2017 14:15,"5814","5814"
06/01/2017 14:30,"5808","5808"
06/01/2017 14:45,"5767","5767"
06/01/2017 15:00,"5464","5464"
06/01/2017 15:15,"5293","5293"
06/01/2017 15:30,"5115","5115"
06/01/2017 15:45,"4949","4949"
06/01/2017 16:00,"4740","4740"
06/01/2017 16:15,"4436","4436"
06/01/2017 16:30,"4071","4071"
06/01/2017 16:45,"3869","3869"
06/01/2017 17:00,"3502","3502"
06/01/2017 17:15,"2890","2890"
06/01/2017 17:30,"2149","2149"
06/01/2017 17:45,"1391","1391"
06/01/2017 18:00,"870","870"
06/01/2017 18:15,"710","710"
06/01/2017 18:30,"599","599"
06/01/2017 18:45,"498","498"
06/01/2017 19:00,"371","371"
06/01/2017 19:15,"306","306"
06/01/2017 19:30,"213","213"
06/01/2017 19:45,"165","165"
06/01/2017 20:00,"114","114"
06/01/2017 20:15,"42","42"
06/01/2017 20:30,"0","0"
06/01/2017 20:45,"0","0"
06/01/2017 21:00,"0","0"
06/01/2017 21:15,"0","0"
06/01/2017 21:30,"0","0"
06/01/2017 21:45,"0","0"
06/01/2017 22:00,"0","0"
06/01/2017 22:15,"0","0"
06/01/2017 22:30,"0","0"
06/01/2017 22:45,"0","0"
06/01/2017 23:00,"0","0"
06/01/2017 23:15,"0","0"
06/01/2017 23:30,"0","0"
06/01/2017 23:45,"0","0"
06/02/2017 00:00,"0","0"
06/02/2017 00:15,"0","0"
06/02/2017 00:30,"0","0"
06/02/2017 00:45,"0","0"
06/02/2017 01:00,"0","0"
06/02/2017 01:15,"0","0"
06/02/2017 01:30,"0","0"
06/02/2017 01:45,"0","0"
06/02/2017 02:00,"0","0"
06/02/2017 02:15,"0","0"
06/02/2017 02:30,"0","0"
06/02/2017 02:45,"0","0"
06/02/2017 03:00,"0","0"
06/02/2017 03:15,"0","0"
06/02/2017 03:30,"0","0"
06/02/2017 03:45,"0","0"
06/02/2017 04:00,"0","0"
06/02/2017 04:15,"0","0"
06/02/2017 04:30,"0","0"
06/02/2017 04:45,"0","0"
06/02/2017 05:00,"0","0"
06/02/2017 05:15,"0","0"
06/02/2017 05:30,"0","0"
06/02/2017 05:45,"0","0"
06/02/2017 06:00,"0","0"
06/02/2017 06:15,"0","0"
06/02/2017 06:30,"0","0"
06/02/2017 06:45,"226","226"
06/02/2017 07:00,"419","419"
06/02/2017 07:15,"716","716"
06/02/2017 07:30,"927","927"
06/02/2017 07:45,"1293","1293"
06/02/2017 08:00,"1609","1609"
06/02/2017 08:15,"2123","2123"
06/02/2017 08:30,"2542","2542"
06/02/2017 08:45,"2925","2925"
06/02/2017 09:00,"3249","3249"
06/02/2017 09:15,"3607","3607"
06/02/2017 09:30,"4312","4312"
06/02/2017 09:45,"4365","4365"
06/02/2017 10:00,"4442","4442"
06/02/2017 10:15,"5558","5558"
06/02/2017 10:30,"2603","2603"
06/02/2017 10:45,"5299","5299"
06/02/2017 11:00,"5369","5369"
06/02/2017 11:15,"2541","2541"
06/02/2017 11:30,"5738","5738"
06/02/2017 11:45,"6003","6003"
06/02/2017 12:00,"6354","6354"
06/02/2017 12:15,"5967","5967"
06/02/2017 12:30,"5903","5903"
06/02/2017 12:45,"5817","5817"
06/02/2017 13:00,"5872","5872"
06/02/2017 13:15,"5863","5863"
06/02/2017 13:30,"5853","5853"
06/02/2017 13:45,"5869","5869"
06/02/2017 14:00,"5814","5814"
06/02/2017 14:15,"5641","5641"
06/02/2017 14:30,"5563","5563"
06/02/2017 14:45,"5479","5479"
06/02/2017 15:00,"5377","5377"
06/02/2017 15:15,"5144","5144"
06/02/2017 15:30,"5001","5001"
06/02/2017 15:45,"4821","4821"
06/02/2017 16:00,"4594","4594"
06/02/2017 16:15,"4433","4433"
06/02/2017 16:30,"4145","4145"
06/02/2017 16:45,"3870","3870"
06/02/2017 17:00,"3506","3506"
06/02/2017 17:15,"2710","2710"
06/02/2017 17:30,"2191","2191"
06/02/2017 17:45,"1345","1345"
06/02/2017 18:00,"905","905"
06/02/2017 18:15,"702","702"
06/02/2017 18:30,"560","560"
